sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:100073;100073;2025-08-25;9999-12-31;96;VALIDATED;Aargau Verkehr AG;Aargau Verkehr AG;Aargau Verkehr AG;Aargau Verkehr AG;AVA-wsb;AVA-wsb;AVA-wsb;AVA-wsb;10;Eisenbahn;Ferrovia;Chemin de fer;#0183;AVA;Aargau Verkehr AG (AVA);2025-08-25 14:18:25;2025-08-25 14:18:25
ch:1:sboid:100074;100074;2019-12-15;9999-12-31;97;VALIDATED;Transports Vallée de Joux-Yverdon-Ste-Croix;Transports Vallée de Joux-Yverdon-Ste-Croix;Transports Vallée de Joux-Yverdon-Ste-Croix;Transports Vallée de Joux-Yverdon-Ste-Croix;TRAVYS;TRAVYS;TRAVYS;TRAVYS;10;Eisenbahn;Ferrovia;Chemin de fer;#0037;TRAVYS;TRAVYS - Transports Vallée-de-Joux - Yverdon-les-Bains - Sainte-Croix S.A.;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100075;100075;2018-10-17;9999-12-31;98;VALIDATED;DB Güterverkehr;DB Güterverkehr;DB Güterverkehr;DB Güterverkehr;DB Cargo;DB Cargo;DB Cargo;DB Cargo;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;#2919;DBCDE;DB Cargo AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100077;100077;2021-06-03;9999-12-31;101;VALIDATED;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;VB-be;VB-be;VB-be;VB-be;10;Eisenbahn;Ferrovia;Chemin de fer;#0507;VB;Verkehrsbetriebe Biel;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100078;100078;2021-06-03;9999-12-31;103;VALIDATED;Verkehrsbetriebe Biel;Transports publics biennois;Verkehrsbetriebe Biel;Verkehrsbetriebe Biel;VB-bm;VB-bm;VB-bm;VB-bm;10;Eisenbahn;Ferrovia;Chemin de fer;#0507;VB;Verkehrsbetriebe Biel;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100079;100079;1900-01-01;9999-12-31;104;VALIDATED;Brienz Rothorn Bahn AG;Brienz Rothorn Bahn AG;Brienz Rothorn Bahn AG;Brienz Rothorn Bahn AG;BRB;BRB;BRB;BRB;10;Eisenbahn;Ferrovia;Chemin de fer;#0204;BRB;Brienz Rothorn Bahn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100080;100080;1900-01-01;9999-12-31;105;VALIDATED;Braunwald-Standseilbahn;Braunwald-Standseilbahn;Braunwald-Standseilbahn;Braunwald-Standseilbahn;BRSB;BRSB;BRSB;BRSB;10;Eisenbahn;Ferrovia;Chemin de fer;#0408;BRSB;Braunwald-Standseilbahn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100081;100081;1900-01-01;9999-12-31;106;VALIDATED;Städtische Verkehrsbetriebe Bern;Städtische Verkehrsbetriebe Bern;Städtische Verkehrsbetriebe Bern;Städtische Verkehrsbetriebe Bern;SVB;SVB;SVB;SVB;10;Eisenbahn;Ferrovia;Chemin de fer;#0306;SVB;Städtische Verkehrsbetriebe Bern (SVB);2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100082;100082;1900-01-01;9999-12-31;107;VALIDATED;Bürgenstock Bahn AG;Bürgenstock Bahn AG;Bürgenstock Bahn AG;Bürgenstock Bahn AG;BB;BB;BB;BB;10;Eisenbahn;Ferrovia;Chemin de fer;#0407;BB;Bürgenstock Bahn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100083;100083;1900-01-01;9999-12-31;109;VALIDATED;Davos Klosters Bergbahnen (dpb);Davos Klosters Bergbahnen (dpb);Davos Klosters Bergbahnen (dpb);Davos Klosters Bergbahnen (dpb);DKB-dpb;DKB-dpb;DKB-dpb;DKB-dpb;10;Eisenbahn;Ferrovia;Chemin de fer;#1024;DKB;Davos Klosters Bergbahnen AG;2022-08-04 14:16:30;2022-08-04 14:16:30
